,row_number,Timestamp,Resource,User,Action,is_anomaly,decision_scores,Cluster
0,0,0.0,18,1385,0,1,0.02888636531235189,2
1,1,0.0,11,1776,2,1,0.10563841537745755,2
2,2,0.0,18,1732,0,1,0.015435656113222729,2
3,3,0.0,11,62,1,1,0.05045348294716856,2
4,4,0.0,18,359,4,1,0.007282042831226798,2
5,5,0.0,11,1756,2,1,0.10264766569363265,2
6,6,0.0,18,327,4,1,0.004026826518270354,2
7,7,0.0,14,1218,4,1,0.08657601285688354,2
8,8,0.0,11,415,1,1,0.08855157158844412,2
9,9,0.0,14,108,1,1,0.06251458911865226,2
10,10,0.0,11,682,3,1,0.10968170073933758,2
11,11,0.0,11,1114,3,1,0.10644069167705322,2
12,12,0.0,18,103,2,1,0.011719123493785899,2
13,13,0.0,18,1155,4,1,0.02799141891805812,2
14,14,0.0,14,2170,1,1,0.047286289547695204,2
15,15,0.0,14,1703,4,1,0.07727555925916973,2
16,16,0.0,18,653,0,1,0.02442556466598078,2
17,17,0.0,18,306,0,1,0.011752229681635917,2
18,18,0.0,14,1130,0,1,0.07876011244503311,2
19,19,0.0,14,1907,1,1,0.07636168886133693,2
20,20,0.0,18,1180,0,1,0.030533300495334648,2
21,21,0.0,18,1210,2,1,0.07476513686914804,2
22,22,0.0,3,991,2,1,0.10967404965617022,2
23,23,0.0,16,1160,4,1,0.06744191426670387,2
24,24,0.0,3,487,0,1,0.07315056920459612,2
25,25,0.0,14,1441,4,1,0.08491121425758691,2
26,26,0.0,3,423,1,1,0.08783389704765088,2
27,27,0.0,14,1589,1,1,0.08916221888225939,2
28,28,0.0,3,1425,4,1,0.07348669091994237,2
29,29,0.0,3,198,2,1,0.07271125629535119,2
30,30,0.0,14,866,4,1,0.08347403052835595,2
31,31,0.0,16,1876,3,1,0.0740227580677486,2
32,32,0.0,3,670,4,1,0.06933935694278498,2
33,33,0.0,14,584,3,1,0.10577923701984937,2
34,34,0.0,18,291,0,1,0.0127374738338204,2
35,35,0.0,3,1784,2,1,0.09761895879312465,2
36,36,0.0,18,2236,0,0,-0.03544531635657866,2
37,37,0.0,0,1862,4,1,0.0076032071079452646,2
38,38,0.0,3,1318,0,1,0.0702352130039553,2
39,39,0.0,3,121,0,1,0.027057652982403035,2
40,40,0.0,3,1008,4,1,0.08023064582501621,2
41,41,0.0,0,1300,4,1,0.010859447998445182,2
42,42,0.0,0,2201,2,0,-0.008911625414189217,2
43,43,0.0,3,59,1,1,0.0414403004210917,2
